4.7,1,1207
200,2,1046
300,1,972
400,2,942
420,2,1111
500,2,963
505,2,903
600,1,916
700,1,847
800,2,799
4000,2,917
100 10.2,1,981
100 8.4,1,1008
14 INTERNATIONAL,2,758
2000,2,1109
29ER,2,912
49ER,2,697
A CLASS,1,684
AERO 5,1,1129
AERO 7,1,1068
AERO 9,1,1019
ALBACORE,2,1038
ALTO,2,920
B14,2,862
BLAZE,1,1027
BRITISH MOTH,1,1155
BUZZ,2,1026
BYTE CII,1,1144
CADET,2,1435
CANOE INTERNATIONAL,1,893
CATAPULT,1,903
CHALLENGER,1,1173
CHERUB,2,903
COMET,1,1205
COMET TRIO,2,1097
COMET VERSA,2,1175
COMET ZERO,2,1250
CONTENDER,1,969
DART 18,2,824
DEVOTI D-ONE,1,948
DEVOTI D-ZERO,1,1029
ENTERPRISE,2,1116
EPS,1,1030
EUROPE,1,1145
FEVA XL,2,1240
FINN,1,1051
FIREBALL,2,953
FIREFLY,2,1165
FLYING FIFTEEN,2,1015
FORMULA 18,2,680
GP14,2,1133
GRADUATE,2,1129
HADRON H2,1,1037
HORNET,2,958
HURRICANE 5.9,2,695
JAVELIN,2,941
K1,1,1070
K6,2,909
KESTREL,2,1038
LARK,2,1070
LASER,1,1098
Laser 2000,2,1109
LASER 4.7,1,1207
LASER 4000/ 4000,2,917
LASER EPS,1,1030
LASER II,2,1075
LASER RADIAL,1,1142
LASER STRATOS,2,1100
LASER VAGO XD,2,1071
Liberty,0,1490
Lightning,1,1170
LIGHTNING 368,1,1170
Martin16,1,1315
MEGABYTE,1,1071
MERLIN-ROCKET,2,980
MIRACLE,2,1200
MIRROR,2,2770
MUSTO SKIFF,1,849
NATIONAL 12,2,1064
OK,1,1104
OPTIMIST,1,1655
OSPREY,2,928
PHANTOM,1,999
Q'ba,2,1260
RADIAL,1,1142
ROOSTER 8.1,1,1051
RS 100 10.2,1,981
RS 100 8.4,1,1008
RS 200,2,1046
RS 300,1,972
RS 400,2,942
RS 500,2,963
RS 600,1,916
RS 700,1,847
RS 800,2,799
RS AERO 5,1,1129
RS AERO 7,1,1068
RS AERO 9,1,1019
RS FEVA XL,2,1240
RS TERA PRO,1,1364
RS TERA SPORT,1,1432
RS VAREO,1,1090
RS VISION,2,1128
SCORPION,2,1036
SEAFLY,2,1080
SHADOW X,1,750
SNIPE,2,1099
SOLO,1,1143
SOLUTION,1,1087
SPITFIRE,2,705
SPRINT 15 ,1,927
SPRINT 15 SPORT ,1,904
STREAKER,1,1128
SUPERNOVA,1,1075
TASAR,2,1015
TERA PRO,1,1364
TERA SPORT,1,1432
TOPPER,1,1358
TOPPER 4.2,1,1416
VAREO,1,1090
VISION,2,1128
VORTEX,1,914
WANDERER,2,1190
WAYFARER,2,1102
